Anio,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,ANTIOQUIA,CAFE,"112,343.60","120,500.80",1.07,14.54,14.66
2007,BOLIVAR,CAFE,502.00,446.00,0.89,0.05,0.07
2007,BOYACA,CAFE,"11,374.50","9,683.10",0.85,1.17,1.48
2007,CALDAS,CAFE,"78,393.65","92,815.00",1.18,11.20,10.23
2007,CAQUETA,CAFE,"2,295.00","2,134.00",0.93,0.26,0.30
2007,CASANARE,CAFE,"2,605.00","2,048.40",0.79,0.25,0.34
2007,CAUCA,CAFE,"53,471.00","51,348.00",0.96,6.19,6.98
2007,CESAR,CAFE,"23,172.00","13,278.50",0.57,1.60,3.02
2007,CHOCO,CAFE,290.00,205.90,0.71,0.02,0.04
2007,CUNDINAMARCA,CAFE,"43,017.30","33,729.14",0.78,4.07,5.61
2007,HUILA,CAFE,"89,661.56","129,052.51",1.44,15.57,11.70
2007,LA GUAJIRA,CAFE,"4,785.00","2,958.70",0.62,0.36,0.62
2007,MAGDALENA,CAFE,"17,506.00","14,005.00",0.80,1.69,2.28
2007,META,CAFE,"2,048.00","1,617.20",0.79,0.20,0.27
2007,NARIÑO,CAFE,"24,458.50","31,770.05",1.30,3.83,3.19
2007,NORTE DE SANTANDER,CAFE,"30,171.84","13,593.24",0.45,1.64,3.94
2007,PUTUMAYO,CAFE,35.00,34.00,0.97,0.00,0.00
2007,QUINDIO,CAFE,"19,904.00","25,426.00",1.28,3.07,2.60
2007,RISARALDA,CAFE,"47,689.25","72,842.55",1.53,8.79,6.22
2007,SANTANDER,CAFE,"34,406.67","29,469.52",0.86,3.56,4.49
2007,TOLIMA,CAFE,"91,679.10","112,322.38",1.23,13.55,11.96
2007,VALLE DEL CAUCA,CAFE,"76,667.80","69,618.24",0.91,8.40,10.00
2008,ANTIOQUIA,CAFE,"114,694.00","113,505.20",0.99,13.70,15.13
2008,BOLIVAR,CAFE,572.00,711.00,1.24,0.09,0.08
2008,BOYACA,CAFE,"10,778.50","9,547.30",0.89,1.15,1.42
2008,CALDAS,CAFE,"74,897.00","86,884.00",1.16,10.49,9.88
2008,CAQUETA,CAFE,"2,735.00","2,469.00",0.90,0.30,0.36
2008,CASANARE,CAFE,"2,149.00","1,388.13",0.65,0.17,0.28
2008,CAUCA,CAFE,"56,208.00","48,073.00",0.86,5.80,7.41
2008,CESAR,CAFE,"23,198.00","13,841.45",0.60,1.67,3.06
2008,CHOCO,CAFE,90.00,68.00,0.76,0.01,0.01
2008,CUNDINAMARCA,CAFE,"43,633.35","78,254.77",1.79,9.44,5.75
2008,HUILA,CAFE,"89,131.20","131,316.47",1.47,15.85,11.75
2008,LA GUAJIRA,CAFE,"4,553.00","2,328.90",0.51,0.28,0.60
2008,MAGDALENA,CAFE,"17,521.00","14,017.00",0.80,1.69,2.31
2008,META,CAFE,"2,146.00","1,656.96",0.77,0.20,0.28
2008,NARIÑO,CAFE,"25,582.00","31,262.50",1.22,3.77,3.37
2008,NORTE DE SANTANDER,CAFE,"30,171.84","13,593.25",0.45,1.64,3.98
2008,PUTUMAYO,CAFE,31.00,35.60,1.15,0.00,0.00
2008,QUINDIO,CAFE,"19,571.00","23,669.00",1.21,2.86,2.58
2008,RISARALDA,CAFE,"47,227.00","60,079.00",1.27,7.25,6.23
2008,SANTANDER,CAFE,"34,169.37","29,016.75",0.85,3.50,4.51
2008,TOLIMA,CAFE,"86,829.20","101,201.88",1.17,12.21,11.45
2008,VALLE DEL CAUCA,CAFE,"72,419.00","65,666.43",0.91,7.93,9.55
2009,ANTIOQUIA,CAFE,"112,420.20","103,703.00",0.92,14.63,14.90
2009,BOLIVAR,CAFE,770.00,292.60,0.38,0.04,0.10
2009,BOYACA,CAFE,"10,672.50","8,567.97",0.80,1.21,1.41
2009,CALDAS,CAFE,"73,083.00","81,668.22",1.12,11.52,9.68
2009,CAQUETA,CAFE,"2,332.00","2,332.00",1.00,0.33,0.31
2009,CASANARE,CAFE,"1,904.00","2,079.70",1.09,0.29,0.25
2009,CAUCA,CAFE,"57,860.00","47,221.00",0.82,6.66,7.67
2009,CESAR,CAFE,"23,420.00","12,770.00",0.55,1.80,3.10
2009,CHOCO,CAFE,70.00,78.75,1.13,0.01,0.01
2009,CUNDINAMARCA,CAFE,"43,475.84","37,118.07",0.85,5.24,5.76
2009,HUILA,CAFE,"86,726.78","104,609.42",1.21,14.76,11.49
2009,LA GUAJIRA,CAFE,"4,488.00","2,340.40",0.52,0.33,0.59
2009,MAGDALENA,CAFE,"17,036.00","13,412.80",0.79,1.89,2.26
2009,META,CAFE,"2,216.00","1,672.60",0.75,0.24,0.29
2009,NARIÑO,CAFE,"26,467.20","27,487.71",1.04,3.88,3.51
2009,NORTE DE SANTANDER,CAFE,"33,552.58","10,221.69",0.30,1.44,4.45
2009,PUTUMAYO,CAFE,23.00,26.70,1.16,0.00,0.00
2009,QUINDIO,CAFE,"19,052.00","21,985.00",1.15,3.10,2.52
2009,RISARALDA,CAFE,"45,428.00","53,648.00",1.18,7.57,6.02
2009,SANTANDER,CAFE,"37,985.90","26,311.61",0.69,3.71,5.03
2009,TOLIMA,CAFE,"88,667.00","88,633.10",1.00,12.50,11.75
2009,VALLE DEL CAUCA,CAFE,"67,001.30","62,711.08",0.94,8.85,8.88
2010,ANTIOQUIA,CAFE,"111,602.71","121,253.38",1.09,15.56,14.99
2010,ARAUCA,CAFE,0.00,0.00,0.00,0.00,0.00
2010,BOLIVAR,CAFE,850.00,510.00,0.60,0.07,0.11
2010,BOYACA,CAFE,"9,427.00","7,083.07",0.75,0.91,1.27
2010,CALDAS,CAFE,"72,240.58","95,957.90",1.33,12.31,9.71
2010,CAQUETA,CAFE,"2,536.00","2,902.50",1.14,0.37,0.34
2010,CASANARE,CAFE,"2,198.00","2,564.86",1.17,0.33,0.30
2010,CAUCA,CAFE,"55,162.00","45,113.00",0.82,5.79,7.41
2010,CESAR,CAFE,"22,489.50","13,276.08",0.59,1.70,3.02
2010,CHOCO,CAFE,157.50,98.00,0.62,0.01,0.02
2010,CUNDINAMARCA,CAFE,"44,264.16","37,214.80",0.84,4.78,5.95
2010,HUILA,CAFE,"87,139.53","104,336.56",1.20,13.39,11.71
2010,LA GUAJIRA,CAFE,"4,207.00","2,393.00",0.57,0.31,0.57
2010,MAGDALENA,CAFE,"17,000.00","13,600.00",0.80,1.75,2.28
2010,META,CAFE,"2,326.00","2,221.90",0.96,0.29,0.31
2010,NARIÑO,CAFE,"23,504.05","24,594.10",1.05,3.16,3.16
2010,NORTE DE SANTANDER,CAFE,"30,731.96","22,111.65",0.72,2.84,4.13
2010,PUTUMAYO,CAFE,24.00,26.70,1.11,0.00,0.00
2010,QUINDIO,CAFE,"18,159.00","21,065.00",1.16,2.70,2.44
2010,RISARALDA,CAFE,"47,308.00","72,091.00",1.52,9.25,6.36
2010,SANTANDER,CAFE,"39,000.64","27,094.16",0.69,3.48,5.24
2010,TOLIMA,CAFE,"84,658.70","94,230.20",1.11,12.09,11.37
2010,VALLE DEL CAUCA,CAFE,"69,332.10","69,496.65",1.00,8.92,9.31
2011,ANTIOQUIA,CAFE,"106,419.57","115,267.98",1.08,18.00,14.94
2011,ARAUCA,CAFE,10.00,12.00,1.20,0.00,0.00
2011,BOLIVAR,CAFE,850.00,510.00,0.60,0.08,0.12
2011,BOYACA,CAFE,"8,441.74","5,643.39",0.67,0.88,1.18
2011,CALDAS,CAFE,"66,331.61","78,805.87",1.19,12.31,9.31
2011,CAQUETA,CAFE,"2,810.00","2,528.40",0.90,0.39,0.39
2011,CASANARE,CAFE,"2,081.50","2,023.50",0.97,0.32,0.29
2011,CAUCA,CAFE,"54,246.42","41,645.39",0.77,6.50,7.61
2011,CESAR,CAFE,"22,350.00","11,035.85",0.49,1.72,3.14
2011,CHOCO,CAFE,157.50,98.00,0.62,0.02,0.02
2011,CUNDINAMARCA,CAFE,"37,478.87","32,780.35",0.87,5.12,5.26
2011,HUILA,CAFE,"78,792.21","85,150.66",1.08,13.30,11.06
2011,LA GUAJIRA,CAFE,"4,100.00","1,933.00",0.47,0.30,0.58
2011,MAGDALENA,CAFE,"16,577.00","13,301.60",0.80,2.08,2.33
2011,META,CAFE,"2,578.00","2,533.75",0.98,0.40,0.36
2011,NARIÑO,CAFE,"24,263.80","24,073.95",0.99,3.76,3.41
2011,NORTE DE SANTANDER,CAFE,"21,520.45","12,332.00",0.57,1.93,3.02
2011,PUTUMAYO,CAFE,40.00,45.80,1.15,0.01,0.01
2011,QUINDIO,CAFE,"20,139.30","20,814.11",1.03,3.25,2.83
2011,RISARALDA,CAFE,"44,733.64","49,042.31",1.10,7.66,6.28
2011,SANTANDER,CAFE,"37,282.04","22,089.82",0.59,3.45,5.23
2011,TOLIMA,CAFE,"93,145.35","53,288.42",0.57,8.32,13.08
2011,VALLE DEL CAUCA,CAFE,"68,038.40","65,475.63",0.96,10.22,9.55
2012,ANTIOQUIA,CAFE,"112,221.14","91,621.30",0.82,14.62,15.80
2012,BOLIVAR,CAFE,870.00,652.50,0.75,0.10,0.12
2012,BOYACA,CAFE,"6,698.20","4,981.59",0.74,0.79,0.94
2012,CALDAS,CAFE,"54,871.88","54,115.96",0.99,8.63,7.72
2012,CAQUETA,CAFE,"2,882.50","2,446.38",0.85,0.39,0.41
2012,CASANARE,CAFE,"2,322.00","1,718.25",0.74,0.27,0.33
2012,CAUCA,CAFE,"56,825.00","50,588.14",0.89,8.07,8.00
2012,CESAR,CAFE,"22,911.00","19,994.35",0.87,3.19,3.22
2012,CHOCO,CAFE,70.00,140.00,2.00,0.02,0.01
2012,CUNDINAMARCA,CAFE,"37,175.06","30,786.41",0.83,4.91,5.23
2012,GUAVIARE,CAFE,0.00,0.00,0.00,0.00,0.00
